code,data,,,
011 ,Growing of crops; market gardening; horticulture,,,
0111 ,Growing of cereals and other crops n.e.c.,,,
01111,Growing of food grain crops (cereals and pulses),,,
01112,Growing of oilseeds including peanuts or soya beans,,,
01113,Growing of cotton and other vegetable textile fibre plants (Includes growing of,,,
plant,"materials for plaiting, padding or stuffing or brushes or brooms)",,,
01114,"Growing of tobacco, including its preliminary processing",,,
01115,Growing of sugarcane or sugar beet,,,
01116,Growing of rubber trees; harvesting of latex and treatment on the plantation of the,,,
liquid,latex for the purpose of transport or preservation,,,
01117,"Growing of plants used chiefly in pharmacy or for insecticide, fungicidal or",,,
similar,purposes ( Includes growing of opium and ganja),,,
01118,Growing of Hina leaves [Mehandi],,,
01119,"Growing of other crops, n.e.c. (Includes growing of potatoes, yams, sweet",,,
potatoes,"or cassava; hop cones, chicory roots or roots and tubers with a high",,,
starch,"or inulin content; growing of seeds of a kind used for sowing, growing of",,,
forage,plants including grasses and of crops not elsewhere classified),,,
0112 ,"Growing of vegetables, horticultural specialties and nursery products",,,
01121,"Growing, in the open or under cover, of vegetables",,,
01122,"Growing of horticultural specialties including: seeds for flowers, fruit or","rooted cuttings or slips; bulbs, tubers, tuberous roots, corns or",,
vegetables;,un,,,
crowns.,Also includes growing of flowers or flower buds,,,
0113 ,"Growing of fruit, nuts, beverage and spice crops",,,
01131,Growing of coffee or cocoa beans,,,
01132,Growing of tea or mate leaves including the activities of tea factories associated,,,
with,tea plantations. (Processing by independent units is classified under class,,,
#VALUE!,#VALUE!,,,
01133,Growing of edible nuts including coconuts,,,
01134,"Growing of fruit: citrus, tropical pome or stone fruit; small fruit such as berries;",,,
other,"fruit such as avocados, grapes, dates or bread fruit etc. (Manufacture of",,,
"wine,","when done at the same location where the grapes are grown is included, by",,,
#VALUE!,#VALUE!,,,
01135,"Growing of spice crops including: spice leaves (e.g. bay, thyme, basil); spice",,,
seeds,"(e.g. anise, coriander, cumin); spice flowers (e.g. cinnamon); spice fruit (e.g.",,,
cloves);,"or other spices (e.g. nutmeg, ginger). Also includes growing of betel",,,
#VALUE!,#VALUE!,,,
01136,Gathering of berries or nuts etc.,,,
01139,"Growing of fruit, nuts, beverage and spice crops, n.e.c.",,,
012 ,Farming of animals,,,
0121 ,"Farming of cattle , sheep, goats, horses, asses, mules and hinnies; dairy farming",,,
[includes,stud farming and the provision of feed lot services for such animals],,,
01211,"Cattle (including yak and buffalo) breeding, rearing and ranching etc.; production",,,
of,"raw milk and bovine semen (Production of butter, cheese and other dairy",,,
products,as secondary activity does not change the classification of the unit),,,
 01212,"Rearing of goats, production of milk",,,
01213,Rearing of sheep; production of shorn wool,,,
01214,"Rearing of horses, camels, mules and other pack animals.",,,
0122 ,Other animal farming; production of animal products n.e.c.,,,
01221,Raising of pigs and swine,,,
01222,Raising of poultry (including broiler) and other domesticated birds; production,,,
of,eggs and operation of poultry hatcheries,,,
01223,Raising of bees; production of honey,,,
01224,Raising of silk worms; production of silk worm cocoons (production of raw silk,,,
is,classified under class 1711),,,
01225,Farming of rabbits including angora rabbits,,,
01229,Other animal farming; production of animal products n.e.c. (Includes: raising in,,,
captivity,"of semi domesticated or wild live animals including birds and reptiles,",,,
operation,"of worm farms, land mollusc farms, frog farms etc.)",,,
013,0130  01300 Growing of crops combined with farming of animals (mixed farming). [This class,,,
includes,crop growing in combination with farming of animals such as sheep or,,,
meat,cattle at mixed activity units with specialisation ratio in either one of less,,,
than,66 percent. ( Mixed cropping or mixed livestock units are classified,,,
according,to their main activity)],,,
014,"0140  Agricultural and animal husbandry service activities, except veterinary",,,
activities.[This,"class includes specialized activities, on a fee or contract basis,",,,
mostly,performed on the farm.],,,
01401,Operation of irrigation systems,,,
01402,"Soil conservation services, including soil testing and soil desalination services.",,,
01403,"Activities establishing a crop, promoting its growth or protecting it from disease",,,
and,insects. Transplantation of rice in rice fields. Horticultural and nursery,,,
#VALUE!,#VALUE!,,,
01404,"Harvesting and activities related to harvesting, such as preparation of crop by",,,
"cleaning,","trimming, grading, drying, decorticating, retting, cooling or bulk",,,
packaging.,Includes cotton picking,,,
01405,"Cotton ginning, cleaning and baling",,,
01406,Renting of agricultura l machinery with operators,,,
01407,"Activities to promote propagation, growth and output of animals and to obtain",,,
animal,"products: artificial insemination, herd testing, poultry caponizing, coop",,,
"cleaning,","dung gathering etc. Sheep dipping and shearing, egg cleaning and",,,
"grading,",animal skinning and related activities. (Veterinary services are classified,,,
under,class 8520),,,
01408,Gardening activities,,,
01409,"Other agricultural and animal husbandry service activities, n.e.c.",,,
015,"0150  01500 Hunting, trapping and game propagation including related service activities",,,
020,"0200  Forestry, logging and related service activities",,,
02001,"Growing of standing timber: planting, replanting, transplanting, thinning and",,,
conserving,of forests and timber tracts. Operation of tree nurseries.,,,
02002,Logging: logging camps and loggers primarily engaged in felling timber and,,,
producing,"wood in the rough such as pitprops, split poles, pickets, hewn railway",,,
ties,or fuel wood.,,,
 02003,Gathering of tendu leaves,like,,
02004,Gathering of other wild growing forest materials (balatta and other rubber,,,
gums;,"cork; lac, resins and balsams; vegetable hair and eel grass; acorns and",mosses etc.) including fuel/fire wood.,,
horse,chestnuts;,,,
02005,"Forestry service activities: timber cruising, timber evaluation, fire fighting and",forestation,,
forest,management including afforestation and re,,,
02006,Logging service activities: transport of logs in association with logging chiefly,,,
within,the forest.,,,
050 ,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to",,,
#VALUE!,#VALUE!,,,
0501 ,Fishing,,,
05011,"Fishing on commercial basis in ocean, sea and coastal areas",,,
05012,Fishing on commercial basis in inland waters.,,,
0502 ,Fish Farming,,,
05021,"Gathering of marine materials such as natural pearls, sponges, coral and algae.",,,
05022,"Fish farming, breading and rearing including operations of hatcheries for fin and",,,
shell,"fish, molluscs, acquatic plants and cultivation of oysters for pearls or food.",,,
05023,Service activities related to marine and fresh water fisheries and to operators of,,,
fish,hatcheries or fish farms,cut,,
101,1010  Mining and agglomeration of hard coal [Includes under ground or open,,,
mining,"of anthracite, bituminous or other hard coal; cleaning, sizing, pulverizing",,,
and,other operations to improve the quality; operations to recover hard coal from,,,
culm,banks; manufacture of briquettes or other solid fuels consisting chiefly of,situ gasification of coal.],,
hard,coal and in,,,
10101,Open cut (strip) mining of coal,,,
10102,Underground mining of coal,,,
10103,"Cleaning, sizing and pulverizing of coal",,,
10104,Manufacture of brickade or other solid fuels containing chiefly coal,,,
10109,Other activities relating to mining and agglomeration of hard coal,cut mining,,
102,1020  Mining and agglomeration of lignite [Includes under ground or open,,,
of,"lignite (brown coal); cleaning, sizing, pulverizing and other operations to",,,
improve,the quality; and manufacture of briquettes or other solid fuels,,,
consisting,chiefly of lignite.],,,
10201,Mining and agglomeration of lignite from open cut mines,,,
10202,Mining and agglomeration of lignite from underground,,,
10203,"Cleaning, sizing and pulverizing of lignite",,,
10204,Manufacture of brickade or other solid fuels containing chiefly lignite,,,
10209,Other operations relating to mining and agglomeration of lignite,,,
111,1110  Extraction of crude petroleum and natural gas [including liquefaction/,,,
regasification,"of natural gas for purposes of transport and the production, at the",,,
mining,"site, of hydrocarbons from oil or gas field gases ]",,,
11101,Off shore extraction of petroleum,,,
11102,On shore extraction of petroleum,,,
11103,Off shore extraction of natural gas,,,
11104,On shore ext raction of natural gas,,,
112,1120  Service activities incidental to oil and gas extraction excluding surveying [ This,,,
class,includes oil and gas field service activities provided on a fee or contract,,,
"basis,",including: directional drilling; “spudding in”; derrick building; repairing,,,
and,dismantling; cementing oil and gas well casings; pumping wells; and other,"physical, geological and",,
service,activities. Oil and gas field exploration and geo,,,
seismic,surveying are classified in class 7421(Architectural and engineering,,,
activities,and related technical consultancy)],,,
11201,Services incidental to off shore oil extraction,,,
11202,Services incidental to on shore oil extraction,,,
11203,Services incidental to off shore gas extraction,,,
11204,Services incidental to on shore gas extraction,,,
120,"1200  12000 Mining of uranium and thorium ores (e.g. pitchblende), including concentrating",,,
of,such ores,,,
131,"1310  13100 Mining of iron ores [includes mining of hematite, magnetite, limonite, siderite or",,,
taconite,etc. which are valued chiefly for iron content. Production of sintered,,,
iron,ores is also included].,"ferrous metal ores, except uranium and thorium ores",,
132,1320  Mining of non,,,
13201,Mining of manganese ore,,,
13202,Mining of chromium ores,,,
13203,Mining of aluminium ores (bauxite),,,
13204,Mining of precious metal ores (gold),,,
13205,Mining of copper ores,,,
13206,Mining of lead and zinc ores,"ferrous metal ores, n.e.c. [titanium ( ilmenite and rutile) ,",,
13209,Mining of other non,,,
"niobium,","tantalum, vanadium or zirconium ores; tin bearing ores; and, nickel,",ferrous metal ores],,
"cobalt,","tungsten, molybdenum, antimony and other non",,,
141,"1410  Quarrying of stone, sand and clay",,,
14101,Quarrying of marble,,,
14102,Quarrying of granite,,,
14103,Quarrying of slate and building and monumental stone other than marble and,,,
#VALUE!,#VALUE!,,,
14104,Mining of dolomite,,,
14105,Mining of gypsum including selenite,,,
14106,"Operation of sand or gravel pits, basalt / porphyry, clay (ordinary ) , crushing",,,
and,breaking of stone for use as a flux or raw material in lime or cement,,,
manufacture,"or as building material, road metal or ballast and other materials for",,,
#VALUE!,#VALUE!,,,
14107,"Mining/quarrying of limestone, limeshell, ‘kankar’ and other calcareous minerals",,,
including,"calcite, chalk and shale.",,,
14108,"Mining of clays (kaolin, ball clay, wollastonite, bentonite, fuller’s earth, fire clay",,,
#VALUE!,#VALUE!,"clay minerals (andalusite, kyanite, sillimanite, dunite",,
14109,Mining of refractory non,,,
"diaspore,",magnesite and pyrophyllite).,,,
